,trait,efo,confidence
0,Operative procedures - main OPCS: E09.1 Excision of lesion of external nose,Abnormality of the nose,5
1,PCT responsible for patient data: SURREY PCT,HCS data analysis protocol,1
2,Operative procedures - secondary OPCS: U05.1 Computed tomography of head,computed tomography,5
3,Diagnoses - secondary ICD10: R13 Dysphagia,Dysphagia,5
4,"Non-cancer illness code, self-reported: fracture wrist / colles fracture",wrist fracture,5
5,"Diagnoses - secondary ICD10: D50.9 Iron deficiency anaemia, unspecified",Iron deficiency anemia,5
6,Diagnoses - secondary ICD10: G47.3 Sleep apnoea,sleep apnea,5
7,Impedance of arm (right),Abnormality of the upper limb,4
8,Vitamin B6,vitamin B6 measurement,5
9,Operation code: coronary angioplasty (ptca) +/- stent,percutaneous transluminal coronary angioplasty,5
10,Mouth/teeth dental problems: Bleeding gums,dental pulp disease,4
11,PCT where patients GP was registered: SOUTH WEST OXFORDSHIRE PCT,obsolete_CNS brain cerebellum MMHCC,1
12,Operative procedures - main OPCS: W82.2 Endoscopic resection of semilunar cartilage NEC,obsolete_redirect,1
13,Treatment/medication code: tiotropium,Tritanopia,1
14,"Non-cancer illness code, self-reported: infective/viral hepatitis",viral human hepatitis infection,5
15,6mm weak meridian angle (right),"Visium CytAssist Spatial Gene Expression, 6.5mm",3
16,Illnesses of father: Bowel cancer,obsolete_colorectal cancer,5
17,Qualifications: NVQ or HND or HNC or equivalent,"level of NACHT, LRR and PYD domains-containing protein 10 in blood serum",1
18,PCT responsible for patient data: STOKE ON TRENT PCT,HCS image acquistion and feature extraction protocol,2
19,Operative procedures - secondary OPCS: V55.2 Two levels of spine,spinal cord disease,2
20,Forced vital capacity (FVC),FVC change measurement,5
21,Treatment/medication code: adcal-d3 1.5g/10micrograms chewable tablet,HMG CoA reductase inhibitor use measurement,2
22,"Diastolic blood pressure, automated reading",diastolic blood pressure,5
23,Poultry intake,protein intake measurement,5
24,Soft cheese intake,fat intake measurement,4
25,Length of working week for main job,job-related exhaustion measurement,4
26,PCT where patients GP was registered: BIRKENHEAD AND WALLASEY PCT,,1
27,Operation code: laparoscopy,hysterectomy,3
28,Type of sliced bread eaten: other,portion of plant tissue,4
29,Diagnoses - secondary ICD10: N40 Hyperplasia of prostate,benign prostatic hyperplasia,5
30,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Hormone replacement therapy","ATC Code H Systemic hormonal preparations, excluding sex hormones and insulins",5
31,Diagnoses - main ICD10: M65.3 Trigger finger,Abnormal finger morphology,4
32,PCT responsible for patient data: WAKEFIELD DISTRICT PCT,obsolete_AE experiment type flag,2
33,Cooked vegetable intake,dietary fiber intake measurement,4
34,"Diagnoses - secondary ICD10: Z92.4 Personal history of major surgery, not elsewhere classified",encounter with health service related to previous surgical history,5
35,Types of spreads/sauces consumed: Low fat mayonnaise,response to high fat food intake,3
36,"External causes: Y83.2 Surgical operation with anastomosis, bypass or graft",obsolete_dorsal longitudinal anastomotic vessel,4
37,Operative procedures - main OPCS: F12.1 Apicectomy of tooth,obsolete_primary failure of tooth eruption,3
38,Operative procedures - secondary OPCS: R14.1 Forewater rupture of amniotic membrane,Premature rupture of membranes,5
