"study_name_rare","source_rare","study_name_common","source_common","trait_rare","trait_common","tier","match_type"
"ukb-wes-az-00011888","az_exwas","ukb-b-10215","ukb","Hand grip strength (right)","Hand grip strength (right)","all","exact"
"ukb-wes-az-00011896","az_exwas","ukb-b-10250","ukb","Cylindrical power (right)","Cylindrical power (right)","all","exact"
"ukb-wes-az-00005572","az_exwas","ukb-b-10387","ukb","Leg pain on walking","Leg pain on walking","all","exact"
"ukb-wes-az-00001208","az_exwas","ukb-b-10591","ukb","Chest pain or discomfort","Chest pain or discomfort","all","exact"
"ukb-wes-az-00011783","az_exwas","ukb-b-1061","ukb","Age high blood pressure diagnosed","Age high blood pressure diagnosed","all","exact"
"ukb-wes-az-00011910","az_exwas","ukb-b-10629","ukb","6mm asymmetry index (left)","6mm asymmetry index (left)","all","exact"
"ukb-wes-az-00001209","az_exwas","ukb-b-10753","ukb","Diabetes diagnosed by doctor","Diabetes diagnosed by doctor","all","exact"
"ukb-wes-az-00011903","az_exwas","ukb-b-10787","ukb","Standing height","Standing height","all","exact"
"ukb-wes-az-00001212","az_exwas","ukb-b-10797","ukb","Chest pain due to walking ceases when standing still","Chest pain due to walking ceases when standing still","all","exact"
"ukb-wes-az-00010125","az_exwas","ukb-b-10831","ukb","Pack years of smoking","Pack years of smoking","all","exact"
"ukb-wes-az-00011872","az_exwas","ukb-b-1096","ukb","Heel bone mineral density (BMD) (left)","Heel bone mineral density (BMD) (left)","all","exact"
"ukb-wes-az-00011899","az_exwas","ukb-b-11113","ukb","3mm weak meridian (left)","3mm weak meridian (left)","all","exact"
"ukb-wes-az-00011906","az_exwas","ukb-b-11182","ukb","3mm cylindrical power (left)","3mm cylindrical power (left)","all","exact"
"ukb-wes-az-00001175","az_exwas","ukb-b-11297","ukb","Doctor diagnosed asthma","Doctor diagnosed asthma","all","exact"
"ukb-wes-az-00011922","az_exwas","ukb-b-11480","ukb","Corneal hysteresis (right)","Corneal hysteresis (right)","all","exact"
"ukb-wes-az-00001211","az_exwas","ukb-b-11578","ukb","Chest pain or discomfort walking normally","Chest pain or discomfort walking normally","all","exact"
"ukb-wes-az-00011881","az_exwas","ukb-b-11598","ukb","Pulse wave reflection index","Pulse wave reflection index","all","exact"
"ukb-wes-az-00011926","az_exwas","ukb-b-11650","ukb","Corneal hysteresis (left)","Corneal hysteresis (left)","all","exact"
"ukb-wes-az-00010133","az_exwas","ukb-b-11971","ukb","Pulse wave Arterial Stiffness index","Pulse wave Arterial Stiffness index","all","exact"
"ukb-wes-az-00011824","az_exwas","ukb-b-12019","ukb","Peak expiratory flow (PEF)","Peak expiratory flow (PEF)","all","exact"
"ukb-wes-az-00001177","az_exwas","ukb-b-1234","ukb","Doctor diagnosed chronic bronchitis","Doctor diagnosed chronic bronchitis","all","exact"
"ukb-wes-az-00010240","az_exwas","ukb-b-12828","ukb","Leg fat-free mass (right)","Leg fat-free mass (right)","all","exact"
"ukb-wes-az-00010246","az_exwas","ukb-b-12854","ukb","Arm fat percentage (right)","Arm fat percentage (right)","all","exact"
"ukb-wes-az-00010229","az_exwas","ukb-b-13354","ukb","Whole body fat-free mass","Whole body fat-free mass","all","exact"
"ukb-wes-az-00011901","az_exwas","ukb-b-13416","ukb","6mm weak meridian (right)","6mm weak meridian (right)","all","exact"
"ukb-wes-az-00011902","az_exwas","ukb-b-13506","ukb","3mm weak meridian (right)","3mm weak meridian (right)","all","exact"
"ukb-wes-az-00011900","az_exwas","ukb-b-13538","ukb","6mm weak meridian (left)","6mm weak meridian (left)","all","exact"
"ukb-wes-az-00010235","az_exwas","ukb-b-14068","ukb","Impedance of leg (left)","Impedance of leg (left)","all","exact"
"ukb-wes-az-00010241","az_exwas","ukb-b-14310","ukb","Leg predicted mass (right)","Leg predicted mass (right)","all","exact"
"ukb-wes-az-00010230","az_exwas","ukb-b-14540","ukb","Whole body water mass","Whole body water mass","all","exact"
"ukb-wes-az-00011908","az_exwas","ukb-b-14664","ukb","3mm strong meridian (left)","3mm strong meridian (left)","all","exact"
"ukb-wes-az-00011895","az_exwas","ukb-b-14670","ukb","Cylindrical power (left)","Cylindrical power (left)","all","exact"
"ukb-wes-az-00011923","az_exwas","ukb-b-15178","ukb","Corneal resistance factor (right)","Corneal resistance factor (right)","all","exact"
"ukb-wes-az-00011890","az_exwas","ukb-b-15590","ukb","Hip circumference","Hip circumference","all","exact"
"ukb-wes-az-00011880","az_exwas","ukb-b-15892","ukb","Pulse rate","Pulse rate","all","exact"
"ukb-wes-az-00010244","az_exwas","ukb-b-16099","ukb","Leg fat-free mass (left)","Leg fat-free mass (left)","all","exact"
"ukb-wes-az-00010120","az_exwas","ukb-b-16287","ukb","Mean time to correctly identify matches","Mean time to correctly identify matches","all","exact"
"ukb-wes-az-00010254","az_exwas","ukb-b-16407","ukb","Trunk fat percentage","Trunk fat percentage","all","exact"
"ukb-wes-az-00005575","az_exwas","ukb-b-16609","ukb","Target heart rate achieved","Target heart rate achieved","all","exact"
"ukb-wes-az-00011905","az_exwas","ukb-b-16677","ukb","6mm cylindrical power (right)","6mm cylindrical power (right)","all","exact"
"ukb-wes-az-00010249","az_exwas","ukb-b-16698","ukb","Arm predicted mass (right)","Arm predicted mass (right)","all","exact"
"ukb-wes-az-00001210","az_exwas","ukb-b-16855","ukb","Cancer diagnosed by doctor","Cancer diagnosed by doctor","all","exact"
"ukb-wes-az-00001187","az_exwas","ukb-b-16858","ukb","Cough on most days","Cough on most days","all","exact"
"ukb-wes-az-00010116","az_exwas","ukb-b-16881","ukb","Sitting height","Sitting height","all","exact"
"ukb-wes-az-00010245","az_exwas","ukb-b-17271","ukb","Leg predicted mass (left)","Leg predicted mass (left)","all","exact"
"ukb-wes-az-00011914","az_exwas","ukb-b-1733","ukb","6mm regularity index (right)","6mm regularity index (right)","all","exact"
"ukb-wes-az-00010256","az_exwas","ukb-b-17409","ukb","Trunk fat-free mass","Trunk fat-free mass","all","exact"
"ukb-wes-az-00011855","az_exwas","ukb-b-17422","ukb","Age at menopause (last menstrual period)","Age at menopause (last menstrual period)","all","exact"
"ukb-wes-az-00010112","az_exwas","ukb-b-17841","ukb","Interpolated Year when non-cancer illness first diagnosed","Interpolated Year when non-cancer illness first diagnosed","all","exact"
"ukb-wes-az-00011909","az_exwas","ukb-b-17859","ukb","3mm asymmetry index (left)","3mm asymmetry index (left)","all","exact"
"ukb-wes-az-00010239","az_exwas","ukb-b-18096","ukb","Leg fat mass (right)","Leg fat mass (right)","all","exact"
"ukb-wes-az-00010326","az_exwas","ukb-b-18096","ukb","Leg fat mass (right)","Leg fat mass (right)","all","exact"
"ukb-wes-az-00010134","az_exwas","ukb-b-18290","ukb","Age hayfever or allergic rhinitis diagnosed by doctor","Age hayfever or allergic rhinitis diagnosed by doctor","all","exact"
"ukb-wes-az-00010242","az_exwas","ukb-b-18377","ukb","Leg fat percentage (left)","Leg fat percentage (left)","all","exact"
"ukb-wes-az-00010135","az_exwas","ukb-b-18436","ukb","Age asthma diagnosed by doctor","Age asthma diagnosed by doctor","all","exact"
"ukb-wes-az-00011849","az_exwas","ukb-b-18593","ukb","Vitamin D","Vitamin D","all","exact"
